"preset_type","value","app_display"
"default","#9CA3AF","#9CA3AF"
"default","tag","tag"
"color","#1F4CFF","#1F4CFF"
"color","#228C83","#228C83"
"color","#2E2F33","#2E2F33"
"color","#59BDC5","#59BDC5"
"color","#5FB4BA","#5FB4BA"
"color","#63E095","#63E095"
"color","#726046","#726046"
"color","#77CFAC","#77CFAC"
"color","#9E89F2","#9E89F2"
"color","#B54053","#B54053"
"color","#C36B55","#C36B55"
"color","#CF6AFF","#CF6AFF"
"color","#DEAB5E","#DEAB5E"
"color","#E88079","#E88079"
"color","#EDE1D4","#EDE1D4"
"color","#EED7B4","#EED7B4"
"color","#F72487","#F72487"
"color","#FFB8D9","#FFB8D9"
"color","#FFC2C2","#FFC2C2"
"color","#FFFFFF","#FFFFFF"
"icon","arrow-down","arrow down"
"icon","arrow-trend-up","arrow trend up"
"icon","baby","baby"
"icon","badgeCheck","badge Check"
"icon","bandage","bandage"
"icon","bank","bank"
"icon","beer-mug","beer mug"
"icon","bell-concierge","bell concierge"
"icon","bitcoin-sign","bitcoin sign"
"icon","bolt","bolt"
"icon","books","books"
"icon","box-taped","box taped"
"icon","briefcase","briefcase"
"icon","briefcase-arrow-right","briefcase arrow right"
"icon","building","building"
"icon","building-columns","building columns"
"icon","building-user","building user"
"icon","bullseye-pointer","bullseye pointer"
"icon","burger","burger"
"icon","burger-soda","burger soda"
"icon","bus","bus"
"icon","business-time","business time"
"icon","cake","cake"
"icon","calculator-simple","calculator simple"
"icon","cameraMovie","camera Movie"
"icon","capsules","capsules"
"icon","car","car"
"icon","car-building","car building"
"icon","car-wash","car wash"
"icon","car-wrench","car wrench"
"icon","carSide","car Side"
"icon","cars","cars"
"icon","chart-candlestick","chart candlestick"
"icon","chart-line-up","chart line up"
"icon","circle-dollar-to-slot","circle dollar to slot"
"icon","circle-question","circle question"
"icon","clock","clock"
"icon","clothes-hanger","clothes hanger"
"icon","cocktail","cocktail"
"icon","coins","coins"
"icon","cookie-bite","cookie bite"
"icon","cup-togo","cup togo"
"icon","droplet","droplet"
"icon","earth","earth"
"icon","envelope-open-dollar","envelope open dollar"
"icon","eye","eye"
"icon","file-contract","file contract"
"icon","file-invoice","file invoice"
"icon","files","files"
"icon","files-medical","files medical"
"icon","football","football"
"icon","gamepadModern","gamepad Modern"
"icon","garage","garage"
"icon","gas-pump","gas pump"
"icon","gift","gift"
"icon","gifts","gifts"
"icon","globe","globe"
"icon","graduation-cap","graduation cap"
"icon","hammer","hammer"
"icon","hand-heart","hand heart"
"icon","hand-holding-dollar","hand holding dollar"
"icon","headphones","headphones"
"icon","heat","heat"
"icon","home","home"
"icon","house-building","house building"
"icon","house-crack","house crack"
"icon","jug-detergent","jug detergent"
"icon","landmark","landmark"
"icon","laptop","laptop"
"icon","legal","legal"
"icon","masks-theater","masks theater"
"icon","medkit","medkit"
"icon","megaphone","megaphone"
"icon","mobile","mobile"
"icon","money-bill-transfer","money bill transfer"
"icon","money-bill-wave","money bill wave"
"icon","money-check","money check"
"icon","money-from-bracket","money from bracket"
"icon","motorcycle","motorcycle"
"icon","palette","palette"
"icon","paperclip","paperclip"
"icon","parking","parking"
"icon","paw","paw"
"icon","pawSimple","paw Simple"
"icon","phone-office","phone office"
"icon","piggyBank","piggy Bank"
"icon","plane","plane"
"icon","popcorn","popcorn"
"icon","print","print"
"icon","sack-dollar","sack dollar"
"icon","salad","salad"
"icon","school","school"
"icon","seedling","seedling"
"icon","server","server"
"icon","shield-quartered","shield quartered"
"icon","shirt","shirt"
"icon","smoking","smoking"
"icon","sportsball","sportsball"
"icon","stethoscope","stethoscope"
"icon","tag","tag"
"icon","taxi","taxi"
"icon","tooth","tooth"
"icon","train","train"
"icon","truck","truck"
"icon","umbrella-beach","umbrella beach"
"icon","umbrellaBeach","umbrella Beach"
"icon","user-doctor","user doctor"
"icon","user-graduate","user graduate"
"icon","user-tie","user tie"
"icon","users","users"
"icon","utensils","utensils"
"icon","vault","vault"
"icon","wine-glass-crack","wine glass crack"
"icon","wineGlass","wine Glass"
